,accgdln,age,altdum,amttotal,casetype,citwhere,combdrg2,crimhist,disposit,district,drugmin,dsplea,educatn,intdum,methmin,monrace,monsex,mweight,newcit,newcnvtn,neweduc,newrace,nodrug,numdepen,offguide,prisdum,probatn,probdum,quarter,reas1,reas2,reas3,regsxmin,relmin,restdet1,restdum,safe,safety,senspcap,sensplt0,sentimp,smax1,smin1,sources,statmax,statmin,supermax,supermin,suprdum,suprel,timservc,totchpts,totrest,totunit,typemony,typeoths,unit1,mwgt1,wgt1,xcrhissr,xfolsor,xmaxsor,xminsor,sentrnge,no_of_misclass
3910,1.0,29.0,0,0,1.0,211.0,6.0,1.0,1,88,60,1,10.0,0,0,1,0.0,115400.0,0.0,0,1.0,1.0,1.0,4.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,9.0,0.0,1.0,1.0,0,1.0,115400.0,57.7,4.0,21.0,71.0,57.0,0.0,1
3913,1.0,42.0,0,1000,1.0,211.0,6.0,1.0,1,56,120,1,23.0,0,0,2,0.0,10034020.0,0.0,0,5.0,2.0,2.0,0.0,10,1,0,0,1,500.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,120.0,120.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,120,0.0,9.0,0.0,1.0,3.0,0,2.0,10000000.0,5000.0,6.0,34.0,327.0,262.0,7.0,1
3926,1.0,24.0,1,0,1.0,211.0,4.0,0.0,1,65,0,1,34.0,0,0,2,0.0,64756246.960035145,0.0,0,5.0,2.0,1.0,0.0,10,1,0,0,1,2.0,1206.0,11.0,0,0,0.0,0.0,1.0,1.0,3.03,3.03,2,240.0,0.0,1,300.0,0.0,36.0,12.0,1,36,997.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,12.0,16.0,10.0,8.0,1
3928,1.0,40.0,0,0,1.0,211.0,6.0,1.0,1,49,120,1,32.0,0,0,1,0.0,64756246.960035145,0.0,0,1.0,1.0,1.0,2.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,142.0,142.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,15.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,6.0,27.0,162.0,130.0,0.0,1
3929,2.0,62.0,0,0,1.0,28.0,3.0,1.0,1,41,120,1,12.0,0,0,2,0.0,9540000.0,1.0,0,3.0,3.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,168.0,168.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,0.0,0.0,1.0,1.0,0,2.0,9540000.0,9540.0,1.0,35.0,210.0,168.0,0.0,1
3930,1.0,47.0,0,0,1.0,211.0,6.0,1.0,1,25,60,1,0.0,0,0,2,0.0,12755107.0,0.0,0,1.0,2.0,5.0,0.0,10,1,0,0,1,1205.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,120.0,120.0,1,480.0,60.0,1,9996.0,120.0,60.0,48.0,1,48,0.0,8.0,0.0,1.0,1.0,0,1.0,10424000.0,521.2,4.0,31.0,188.0,151.0,8.0,1
3942,1.0,31.0,0,0,1.0,49.0,6.0,1.0,1,54,120,5,12.0,0,0,1,0.0,100800000.0,1.0,0,3.0,3.0,3.0,1.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,180.0,180.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,0.0,0.0,1.0,1.0,0,2.0,93800000.0,4690.0,1.0,38.0,293.0,235.0,8.0,1
3943,2.0,30.0,0,0,1.0,211.0,77.0,1.0,1,14,12,1,12.0,0,0,2,0.0,35000.0,0.0,0,3.0,2.0,2.0,1.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,12.03,12.03,1,480.0,12.0,1,480.0,12.0,996.0,72.0,1,72,0.0,1.0,0.0,1.0,1.0,0,1.0,25000.0,50.0,1.0,17.0,30.0,24.0,8.0,1
3944,1.0,37.0,0,0,1.0,49.0,4.0,1.0,1,42,0,1,9.0,0,0,1,0.0,125000.0,1.0,0,1.0,3.0,1.0,3.0,10,1,0,0,1,113.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,0.03,0.03,1,240.0,0.0,3,240.0,0.0,36.0,12.0,1,24,997.0,0.0,0.0,1.0,1.0,0,2.0,125000.0,125000.0,1.0,14.0,21.0,15.0,7.0,1
3946,1.0,41.0,0,0,1.0,211.0,4.0,1.0,1,25,0,1,12.0,0,0,2,1.0,8480.0,0.0,0,3.0,2.0,1.0,2.0,10,0,60,1,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,60.0,0.0,1,60.0,0.0,36.0,12.0,0,0,0.0,0.0,0.0,1.0,1.0,0,2.0,8480.0,8480.0,1.0,8.0,6.0,0.0,0.0,1
